MANIFEST  NO,DLV. CODE,CUS.PLANT,NO.,DLV. DATE.,TIME.,CUSTOMER PRT NO,DENSO PART NO.,PART DESCRIPTION,ORDER QTY,ERR.CD
5250753622,BDRD07-53,,1,22/09/2025,13:49,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753622,BDRD07-53,,8,22/09/2025,13:49,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753622,BDRD07-53,,22,22/09/2025,13:49,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250753691,BDRD07-53,,1,22/09/2025,13:49,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753691,BDRD07-53,,7,22/09/2025,13:49,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753691,BDRD07-53,,21,22/09/2025,13:49,28100-0Y300-00,JK438000-35800T,STARTER ASSY,,
5250753691,BDRD07-53,,22,22/09/2025,13:49,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250753736,BDRD07-53,,1,22/09/2025,18:44,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753736,BDRD07-53,,8,22/09/2025,18:44,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753736,BDRD07-53,,21,22/09/2025,18:44,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250753791,BDRD07-53,,1,22/09/2025,18:44,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753791,BDRD07-53,,8,22/09/2025,18:44,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753791,BDRD07-53,,21,22/09/2025,18:44,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250753852,BDRD07-53,,1,22/09/2025,18:44,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753852,BDRD07-53,,8,22/09/2025,18:44,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753852,BDRD07-53,,22,22/09/2025,18:44,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250753920,BDRD07-53,,1,22/09/2025,22:23,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250753920,BDRD07-53,,7,22/09/2025,22:23,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250753920,BDRD07-53,,20,22/09/2025,22:23,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250754087,BDRD07-53,,1,22/09/2025,13:49,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,2,22/09/2025,13:49,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,3,22/09/2025,13:49,83800-BX430-00,JK257640-80240T,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,4,22/09/2025,13:49,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,5,22/09/2025,13:49,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,6,22/09/2025,13:49,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754087,BDRD07-53,,7,22/09/2025,13:49,89560-BXJ02-00,JK115800-09430C,COMPUTER ASSY  FUEL INJEC,,
5250754145,BDRD07-53,,1,22/09/2025,13:49,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,2,22/09/2025,13:49,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,3,22/09/2025,13:49,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,4,22/09/2025,13:49,83800-BYT30-00,JK457300-91560C,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,5,22/09/2025,13:49,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,7,22/09/2025,13:49,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754145,BDRD07-53,,8,22/09/2025,13:49,895E0-BZA30-00,JK115800-36910T,COMPUTER ASSY  FUEL INJEC,,
5250754145,BDRD07-53,,9,22/09/2025,13:49,895E0-BZU40-00,JK115800-50800T,COMPUTER ASSY  FUEL INJEC,,
5250754145,BDRD07-53,,10,22/09/2025,13:49,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
5250754209,BDRD07-53,,1,22/09/2025,13:49,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,2,22/09/2025,13:49,83800-BX380-00,JK257640-80040T,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,3,22/09/2025,13:49,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,4,22/09/2025,13:49,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,5,22/09/2025,13:49,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,6,22/09/2025,13:49,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,7,22/09/2025,13:49,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754209,BDRD07-53,,8,22/09/2025,13:49,895E0-BY181-00,JK115800-62120T,COMPUTER ASSY  FUEL INJEC,,
5250754276,BDRD07-53,,1,22/09/2025,13:49,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,2,22/09/2025,13:49,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,3,22/09/2025,13:49,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,4,22/09/2025,13:49,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,5,22/09/2025,13:49,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,6,22/09/2025,13:49,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,7,22/09/2025,13:49,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754276,BDRD07-53,,8,22/09/2025,13:49,895E0-BZB10-00,JK115800-35820T,COMPUTER ASSY  FUEL INJEC,,
5250754276,BDRD07-53,,9,22/09/2025,13:49,895E0-BZU40-00,JK115800-50800T,COMPUTER ASSY  FUEL INJEC,,
5250754345,BDRD07-53,,1,22/09/2025,13:49,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754345,BDRD07-53,,2,22/09/2025,13:49,83800-BX370-00,JK257640-79940T,METER ASSY  COMBINATION,,
5250754345,BDRD07-53,,3,22/09/2025,13:49,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754345,BDRD07-53,,4,22/09/2025,13:49,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754345,BDRD07-53,,7,22/09/2025,13:49,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754345,BDRD07-53,,8,22/09/2025,13:49,895E0-BZE93-00,JK115800-38140T,COMPUTER ASSY  FUEL INJEC,,
5250754345,BDRD07-53,,9,22/09/2025,13:49,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,1,22/09/2025,18:44,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,2,22/09/2025,18:44,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,4,22/09/2025,18:44,83800-BX430-00,JK257640-80240T,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,5,22/09/2025,18:44,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,7,22/09/2025,18:44,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,8,22/09/2025,18:44,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,9,22/09/2025,18:44,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754417,BDRD07-53,,10,22/09/2025,18:44,895E0-BZD20-00,JK115800-25100C,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,11,22/09/2025,18:44,895E0-BZ350-00,JK115800-34810T,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,12,22/09/2025,18:44,895E0-BZ870-00,JK115800-35720T,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,13,22/09/2025,18:44,89560-BXP72-00,JK115800-10130C,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,14,22/09/2025,18:44,89560-BYR21-00,JK115800-07220C,COMPUTER ASSY  FUEL INJEC,,
5250754417,BDRD07-53,,15,22/09/2025,18:44,89560-BYU42-00,JK115800-07730C,COMPUTER ASSY  FUEL INJEC,,
5250754491,BDRD07-53,,1,22/09/2025,18:44,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,3,22/09/2025,18:44,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,4,22/09/2025,18:44,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,5,22/09/2025,18:44,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,6,22/09/2025,18:44,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,7,22/09/2025,18:44,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754491,BDRD07-53,,8,22/09/2025,18:44,895E0-BZC20-00,JK115800-34620T,COMPUTER ASSY  FUEL INJEC,,
5250754491,BDRD07-53,,9,22/09/2025,18:44,895E0-BZM71-00,JK115800-46110C,COMPUTER ASSY  FUEL INJEC,,
5250754565,BDRD07-53,,1,22/09/2025,18:44,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754565,BDRD07-53,,2,22/09/2025,18:44,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754565,BDRD07-53,,3,22/09/2025,18:44,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754565,BDRD07-53,,4,22/09/2025,18:44,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754565,BDRD07-53,,5,22/09/2025,18:44,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754565,BDRD07-53,,6,22/09/2025,18:44,895E0-BZU40-00,JK115800-50800T,COMPUTER ASSY  FUEL INJEC,,
5250754640,BDRD07-53,,1,22/09/2025,18:44,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,2,22/09/2025,18:44,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,3,22/09/2025,18:44,83800-BX430-00,JK257640-80240T,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,4,22/09/2025,18:44,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,5,22/09/2025,18:44,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,6,22/09/2025,18:44,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754640,BDRD07-53,,7,22/09/2025,18:44,895E0-BY181-00,JK115800-62120T,COMPUTER ASSY  FUEL INJEC,,
5250754640,BDRD07-53,,8,22/09/2025,18:44,895E0-BZA00-00,JK115800-36720T,COMPUTER ASSY  FUEL INJEC,,
5250754640,BDRD07-53,,9,22/09/2025,18:44,89560-BXP92-00,JK115800-10330C,COMPUTER ASSY  FUEL INJEC,,
5250754716,BDRD07-53,,1,22/09/2025,18:44,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,2,22/09/2025,18:44,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,3,22/09/2025,18:44,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,4,22/09/2025,18:44,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,6,22/09/2025,18:44,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,7,22/09/2025,18:44,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754716,BDRD07-53,,8,22/09/2025,18:44,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
5250754792,BDRD07-53,,1,22/09/2025,22:23,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250754792,BDRD07-53,,3,22/09/2025,22:23,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754792,BDRD07-53,,4,22/09/2025,22:23,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754792,BDRD07-53,,5,22/09/2025,22:23,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250754792,BDRD07-53,,6,22/09/2025,22:23,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250754792,BDRD07-53,,8,22/09/2025,22:23,89560-BXJ02-00,JK115800-09430C,COMPUTER ASSY  FUEL INJEC,,
5250754792,BDRD07-53,,9,22/09/2025,22:23,89560-BXP51-00,JK115800-09920C,COMPUTER ASSY  FUEL INJEC,,
5250754870,BDRD07-53,,1,22/09/2025,22:23,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250754870,BDRD07-53,,3,22/09/2025,22:23,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250754870,BDRD07-53,,4,22/09/2025,22:23,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250754870,BDRD07-53,,5,22/09/2025,22:23,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250754870,BDRD07-53,,6,22/09/2025,22:23,895E0-BZU40-00,JK115800-50800T,COMPUTER ASSY  FUEL INJEC,,
5250755027,BDRD07-53,,1,22/09/2025,22:23,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,2,22/09/2025,22:23,83800-BX430-00,JK257640-80240T,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,3,22/09/2025,22:23,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,5,22/09/2025,22:23,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,6,22/09/2025,22:23,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,7,22/09/2025,22:23,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250755027,BDRD07-53,,8,22/09/2025,22:23,895E0-BY181-00,JK115800-62120T,COMPUTER ASSY  FUEL INJEC,,
5250755027,BDRD07-53,,9,22/09/2025,22:23,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
5250755034,BDRD07-53,,1,22/09/2025,22:23,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250755034,BDRD07-53,,9,22/09/2025,22:23,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250755034,BDRD07-53,,24,22/09/2025,22:23,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250755370,BDRD07-53,,1,22/09/2025,22:23,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,2,22/09/2025,22:23,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,4,22/09/2025,22:23,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,5,22/09/2025,22:23,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,7,22/09/2025,22:23,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,8,22/09/2025,22:23,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250755370,BDRD07-53,,9,22/09/2025,22:23,89560-BXP72-00,JK115800-10130C,COMPUTER ASSY  FUEL INJEC,,
5250755370,BDRD07-53,,10,22/09/2025,22:23,89560-BYR21-00,JK115800-07220C,COMPUTER ASSY  FUEL INJEC,,
5250755377,BDRD07-53,,1,23/09/2025,1:14,27060-BZ460-00,JK104211-29000C,ALTERNATOR ASSY  W/REGULA,,
5250755377,BDRD07-53,,8,23/09/2025,1:14,28100-BZ310-00,JK438000-31900C,STARTER ASSY,,
5250755377,BDRD07-53,,24,23/09/2025,1:14,89465-BZ610-00,JK150200-60700C,SENSOR  OXYGEN,,
5250755625,BDRD07-53,,1,22/09/2025,22:23,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,3,22/09/2025,22:23,83800-BX380-00,JK257640-80040T,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,4,22/09/2025,22:23,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,5,22/09/2025,22:23,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,6,22/09/2025,22:23,83800-BYU71-00,JK257660-03730T,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,8,22/09/2025,22:23,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250755625,BDRD07-53,,9,22/09/2025,22:23,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
